Metabolite,Molecular Forumla,Charge,Name,KEGG ID,MetaCyc ID
2ommb,C48H72O3,0,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05814,OCTAPRENYL-METHYL-METHOXY-BENZQ
2oxoadp,C6H6O5,-2,2-Oxoadipate,C00322,2K-ADIPATE
2p4c2me,C14H22N3O17P3,-4,2-Phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol,C11436,
2pg,C3H4O7P,-3,D-Glycerate 2-phosphate,C00631,2-PG
2pglyc,C2H2O6P,-3,2-Phosphoglycolate,C00988,CPD-67
2phenyl13pdmc,C10H12NO3,1,"2-Phenyl-1,3-propanediol monocarbamate",C16586,
2shchc,C11H10O6,-2,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C05817 ,
2thexdec,C16H30O1,0,Hexadecenal,C06123,CPD-292
34hpp,C9H7O4,-1,3-(4-Hydroxyphenyl)pyruvate,C01179,P-HYDROXY-PHENYLPYRUVATE
35cgmp,C10H11N5O7P,-1,"3,5-Cyclic GMP",C00942,
3aib,C4H9NO2,0,3-Aminoisobutyric acid,C05145,
3butcoa,C25H36N7O17P3S1,-4,Vinylacetyl-CoA,C02331,CPD-226
3c2hmp,C7H10O5,-2,3-Carboxy-2-hydroxy-4-methylpentanoate,C04411,2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE
3c3hmp,C7H10O5,-2,3-Carboxy-3-hydroxy-4-methylpentanoate,C02504,3-CARBOXY-3-HYDROXY-ISOCAPROATE
3c4mop,C7H8O5,-2,3-Carboxy-4-methyl-2-oxopentanoate,C04236,CPD-7100 [(2<i>S</i>)-2-isopropyl-3-oxosuccinate]
3carbam2phenyl,C10H11NO3,0,3-Carbamoyl-2-phenylpropionaldehyde,C16587,
3ddgc,C6H9O6,-1,3-Dehydro-2-deoxy-D-gluconate,C03926,DE-O-K-GLUCONATE
3dhq,C7H9O6,-1,3-Dehydroquinate,C00944,DEHYDROQUINATE
3dhsk,C7H7O5,-1,3-Dehydroshikimate,C02637,3-DEHYDRO-SHIKIMATE
3g12dgr_CB,C41.7H77.8O10,0,"3-D-Glucosyl-1,2-diacylglycerol",C04046,
3h26dm5coa,C31H48N7O18P3S,-4,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C11947,
3h3mob,C5H8O4,0,3-Hydroxy-3-methyl-2-oxobutanoic acid,C04181,
3h3mop,C6H10O4,0,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C14463,
3hacoa,C24H35N7O18P3RS,-4,(3S)-3-Hydroxyacyl-CoA,C00640,
3hbcoa,C25H38N7O18P3S,-4,(S)-3-Hydroxybutanoyl-CoA,C01144,S-3-HYDROXYBUTANOYL-COA
3hbcoa-R,C25H38N7O18P3S,-4,(R)-3-Hydroxybutanoyl-CoA,C03561,CPD-650
3hdcoa,C31H50N7O18P3S,-4,(S)-Hydroxydecanoyl-CoA,C05264,
3hddcoa,C33H54N7O18P3S,-4,(S)-3-Hydroxydodecanoyl-CoA,C05262,
3hhcoa,C27H42N7O18P3S,-4,(S)-Hydroxyhexanoyl-CoA,C05268,
3hhdcoa,C37H62N7O18P3S,-4,(S)-3-Hydroxyhexadecanoyl-CoA,C05258,
3hibutcoa,C25H38N7O18P3S,-4,(S)-3-Hydroxyisobutyryl-CoA,C06000,
3hmbcoa,C26H40N7O18P3S,-4,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA",C04405,2-METHYL-3-HYDROXY-BUTYRYL-COA
3hmp,C4H7O3,-1,3-Hydroxy-2-methylpropanoate,C01188,3-HYDROXY-ISOBUTYRATE
3hmrsACP,C14H26O2SR,-1,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C04688,
3hocoa,C29H46N7O18P3S,-4,(S)-Hydroxyoctanoyl-CoA,C05266,
3hpcoa,C24H36N7O18P3S,-4,3-Hydroxypropionyl-CoA,C05668,
3htdcoa,C35H58N7O18P3S,-4,(S)-3-Hydroxytetradecanoyl-CoA,C05260,
3hxkynam,C9H13N2O2,1,3-Hydroxykynurenamine,C05636,
3hydroxyCoA,C26H42N7O18P3S,-2,3-Hydroxyisovaleryl-CoA,C05998,
3ig3p,C11H12NO6P,-2,C-(3-Indolyl)-glycerol 3-phosphate,C03506,INDOLE-3-GLYCEROL-P
3mb2coa,C26H38N7O17P3S,-4,3-Methylcrotonyl-CoA,C03069,
3mob,C5H7O3,-1,3-Methyl-2-oxobutanoate,C00141,2-KETO-ISOVALERATE
3mop,C6H9O3,-1,(S)-3-Methyl-2-oxopentanoate,C00671,2-KETO-3-METHYL-VALERATE
3oacoa,C24H33N7O18P3RS,-4,3-Oxoacyl-CoA,C00264 ,
3ohcoa,C27H40N7O18P3S,-4,3-Oxohexanoyl-CoA,C05269,
3ophb,C47H69O3,-1,3-Octaprenyl-4-hydroxybenzoate,C05809,3-OCTAPRENYL-4-HYDROXYBENZOATE
3oxoadp,C6H6O5,-2,3-Oxoadipate,C00846,3-KETO-ADIPATE
3pg,C3H4O7P,-3,3-Phospho-D-glycerate,C00197,G3P
3php,C3H2O7P,-3,3-Phosphohydroxypyruvate,C03232,3-P-HYDROXYPYRUVATE
3pop,C3H2O6P,-3,3-Phosphonopyruvate,C02798,
3psme,C10H9O10P,-4,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C01269,3-ENOLPYRUVYL-SHIKIMATE-5P
3sala,C3H5NO4S,-2,3-Sulfino-L-alanine,C00606,
3snpyr,C3H2O5S,-2,3-Sulfinopyruvate,C05527,
3spyr,C3H2O6S,-2,3-Sulfopyruvate,C05528,CPD-380
3uib,C5H9N2O3,-1,3-Ureidoisobutyrate,C05100,
4abut,C4H9NO2,0,4-Aminobutanoate,C00334,4-GUANIDO-BUTYRAMIDE
4abutn,C4H10NO,1,4-Aminobutanal,C00555,5-PHOSPHO-RIBOSYL-GLYCINEAMIDE
4abz,C7H6NO2,-1,4-Aminobenzoate,C00568,P-AMINO-BENZOATE
4abz[e],C7H6NO2,-1,4-Aminobenzoate,C00568,P-AMINO-BENZOATE
4adcho,C10H10NO5,-1,4-Amino-4-deoxychorismate,C11355,4-AMINO-4-DEOXYCHORISMATE
4ahmmp,C6H9N3O,0,4-Amino-5-hydroxymethyl-2-methylpyrimidine,C01279,HMP
4ampm,C6H8N3O4P,-2,4-Amino-2-methyl-5-phosphomethylpyrimidine,C04556,AMINO-HYDROXYMETHYL-METHYL-PYR-P
4c2me,C14H23N3O14P2,-2,4-(Cytidine 5-diphospho)-2-C-methyl-D-erythritol,C11435,4-CYTIDINE-5-DIPHOSPHO-2-C
4gudbd,C5H13N4O,1,4-Guanidinobutanamide,C03078,4-HYDROXY-BUTYRATE
4gudbutn,C5H11N3O2,0,4-Guanidinobutanoate,C01035,CPD-592
4h2oglt,C5H4O6,-2,D-4-Hydroxy-2-oxoglutarate,C05946,
4hbcoa,C25H38N7O18P3S1,-4,4-Hydroxybutyryl-CoA,C11062,4-HYDROXY-BUTYRYL-COA
4hbz,C7H5O3,-1,4-Hydroxybenzoate,C00156,URATE
4hoxpacd,C8H8O2,0,4-Hydroxyphenylacetaldehyde,C03765,
4hpro-LT,C5H9NO3,0,trans-4-Hydroxy-L-proline,C01157,
4hthr,C4H9NO4,0,4-Hydroxy-L-threonine,C06056,
4hydxy5phenyltetra13ox2one,C10H12NO3,1,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",C16595,
4mhetz,C6H9NOS,0,4-Methyl-5-(2-hydroxyethyl)-thiazole,C04294,THZ
4mop,C6H9O3,-1,4-Methyl-2-oxopentanoate,C00233,2K-4CH3-PENTANOATE
4mpetz,C6H8NO4PS,-2,4-Methyl-5-(2-phosphoethyl)-thiazole,C04327,THZ-P
4ohbut,C4H7O3,-1,4-Hydroxybutanoic acid,C00989,4-P-PANTOTHENATE
4pasp,C4H6NO7P,-2,4-Phospho-L-aspartate,C03082,L-METHIONINE_SULFOXIDE
4pcys,C12H24N2O6S,2,N-((R)-Pantothenoyl)-L-cysteine,C04079,
4per,C4H6O8P,-3,4-Phospho-D-erythronate,C03393,ERYTHRONATE-4P
4ppan,C9H15NO8P,-3,D-4-Phosphopantothenate,C03492,4-PHOSPHONOOXY-THREONINE
4ppcys,C12H20N2O9PS,-3,N-((R)-4-Phosphopantothenoyl)-L-cysteine,C04352,R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE
4r5au,C9H16N4O6,0,4-(1-D-Ribitylamino)-5-aminouracil,C04732,AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE
56dihydro5fluor,C4H6FN2O2,1,"5,6-Dihydro-5-fluorouracil",C16630,
56dthm,C5H8N2O2,0,"5,6-Dihydrothymine",C00906,
56dura,C4H6N2O2,0,"5,6-dihydrouracil",C00429,
5aizc,C9H11N3O9P,-3,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C04751,PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE
5amimcarb,C4H5N3O2,0,5-Amino-4-imidazole carboxylate,C05516,
5amimid,C3H6N3,1,5-Aminoimidazole,C05239,
5aop,C5H9NO3,0,5-Amino-4-oxopentanoate,C00430,5-AMINOPENTANOATE
5aprbu,C9H15N4O9P,-2,5-Amino-6-(5-phosphoribitylamino)uracil,C04454,CPD-1086
5apru,C9H13N4O9P,-2,5-Amino-6-(5-phosphoribosylamino)uracil,C01268,CPD-602
5dxy5fluor,C9H14FN2O5,3,5-Deoxy-5-fluorouridine,C12739,
5dxy5fluroctdn,C9H13FN3O4,1,5-Deoxy-5-fluorocytidine,C16635,
5fluoro,C9H15FN2O6,4,5-Fluorouridine,C16633,
5fluoromp,C9H13FN2O9P,1,5-Fluorouridine monophosphate,C16634,
5fthf,C20H21N7O7,-2,5-Formyltetrahydrofolate,C03479,5-FORMYL-THF
5FU,C4H3FN2O2,0,5-FU,C07649,
5hete,C20H32O3,0,5(S)-HETE,C04805,
5HPET,C20H31O4,-1,5(S)-HPETE,C05356,
5mta,C11H15N5O3S,0,5-Methylthioadenosine,C00170,5-P-BETA-D-RIBOSYL-AMINE
5mthf,C20H24N7O6,-1,5-Methyltetrahydrofolate,C00440,5-METHYL-THF
5mtr,C6H12O4S,0,5-Methylthio-D-ribose,C03089,
5odhf2a,C6H5O4,-1,"5-Oxo-4,5-dihydrofuran-2-acetate",C03586,3-OXOADIPATE-ENOL-LACTONE
5phenyl13ox24dione,C10H9NO3,0,"5-Phenyl-1,3-oxazinane-2,4-dione",C16596,
5prdmbz,C14H17N2O7P,-2,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",C04778,ALPHA-RIBAZOLE-5-P
6meth5mpribnucl,C11H14N4O7PS,-1,6-Methylthiopurine 5-monophosphate ribonucleotide,C16615,
6methylmercpt,C6H6N4S,0,6-Methylmercaptopurine,C16614,
6pgc,C6H10O10P,-3,6-Phospho-D-gluconate,C00345,CPD-2961
6pgl,C6H9O9P,-2,"6-phospho-D-glucono-1,5-lactone",C01236,D-6-P-GLUCONO-DELTA-LACTONE
6pthp,C9H11N5O3,0,"6-Pyruvoyl-5,6,7,8-tetrahydropterin",C03684,6-PYRUVOYL-5678-TETRAHYDROPTERIN
6t5mp,C10H13N4O7PS,0,6-Thioinosine-5-monophosphate,C04646,
6thiogump,C10H12N5O7PS,-2,6-Thioguanosine monophosphate,C16619,
6thioxan5mp,C10H11N4O8PS,-2,6-Thioxanthine 5-monophosphate,C16618,
8aonn,C9H17NO3,0,8-Amino-7-oxononanoate,C01092,8-AMINO-7-OXONONANOATE
aa,C3H5NO,0,Acrylamide,C01659,ACRYLAMIDE
aacoa,C25H36N7O18P3S,-4,Acetoacetyl-CoA,C00332,ACETOACETYL-COA
ac,C2H3O2,-1,Acetate,C00033,ACET
ac[e],C2H3O2,-1,Acetate,C00033,ACET
acac,C4H5O3,-1,Acetoacetate,C00164,3-KETOBUTYRATE
acACP,C2H2OSR,-1,Acetyl-[acyl-carrier protein],C03939,
acald,C2H4O,0,Acetaldehyde,C00084,ACETALD
accoa,C23H34N7O17P3S,-4,Acetyl-CoA,C00024,ACETYL-COA
accyhy,C4H7N1O1,0,Acetone cyanohydrin,C02659,2-HYDROXY-2-METHYLPROPANENITRILE
acetol,C3H6O2,0,Acetol,C05235,
acetone,C3H6O,0,Acetone,C00207,
acetone[e],C3H6O,0,Acetone,C00207,PUTRESCINE
acg5p,C7H9NO8P,-3,N-Acetyl-L-glutamyl 5-phosphate,C04133,N-ACETYL-GLUTAMYL-P
acg5sa,C7H10NO4,-1,N-Acetyl-L-glutamate 5-semialdehyde,C01250,CPD-469
acgam,C8H15NO6,0,N-Acetyl-D-glucosamine,C00140,
acgam[e],C8H15NO6,0,N-Acetyl-D-glucosamine,C00140,N-ACETYL-D-GLUCOSAMINE
acgam1p,C8H14NO9P,-2,N-Acetyl-D-glucosamine 1-phosphate,C04256,N-ACETYL-D-GLUCOSAMINE-1-P
acgam6p,C8H14NO9P,-2,N-Acetyl-D-glucosamine 6-phosphate,C00357,N-ACETYL-D-GLUCOSAMINE-6-P
acglu,C7H9NO5,-2,N-Acetyl-L-glutamate,C00624,L-THREONINE-O-3-PHOSPHATE
achms,C6H11NO4,0,O-Acetyl-L-homoserine,C01077,CPD-667
acmalt,C14H24O12,0,Acetyl-maltose,C02130,ACETYLMALTOSE
acmam,C11H18NO8,-1,N-Acetylmuramate,C02713,
acmama,C14H23N2O9,-1,N-Acetylmuramoyl-Ala,C02999,
acmana,C8H15NO6,0,N-Acetyl-D-mannosamine,C00645,N-ACETYL-D-MANNOSAMINE
acmanap,C8H14NO9P,-2,N-Acetyl-D-mannosamine 6-phosphate,C04257,N-ACETYL-D-MANNOSAMINE-6P
acnam,C11H18NO9,-1,N-Acetylneuraminate,C00270,N-ACETYLNEURAMINATE
acnamp,C11H17NO12P,-3,N-Acetylneuraminate 9-phosphate,C06241,N-ACETYL-NEURAMINATE-9P
acnmt,C10H16N1O9R1,0,N-Acylneuraminate,C00591,CPD-1119
acorn,C7H14N2O3,0,N2-Acetyl-L-ornithine,C00437,N-ALPHA-ACETYLORNITHINE
ACP,SR,-1,Acyl-carrier protein,C00229,
acphosphmd,C7H16Cl2N2O3P,-1,Alcophosphamide,C16551,
acryl,C3H4O2,0,Propenoate,C00511,ACRYLATE
acser,C5H9NO4,0,O-Acetyl-L-serine,C00979,ACETYLSERINE
actn-R,C4H8O2,0,(R)-Acetoin,C00810,
actp,C2H3O5P,-2,Acetyl phosphate,C00227,ACETYL-P
adcobdam,C55H68CoN11O15,-4,Adenosyl cobyrinate diamide,C06506,
adcobhex,C55H76CoN15O11,0,adenosyl-cobyric acid,C06507,
ade,C5H5N5,0,Adenine,C00147,ADENINE
adn,C10H13N5O4,0,Adenosine,C00212,ADENOSINE
adocbi,C58H84CoN16O11,1,Adenosyl cobinamide,C06508,
adocbip,C58H83CoN16O14P,-1,Adenosyl cobinamide phosphate,C06509,ADENOSYLCOBINAMIDE-P
adocbl,C72H100CoN18O17P,0,Cobamide coenzyme,C00194,
adp,C10H12N5O10P2,-3,ADP,C00008,ADP
adpglc,C16H23N5O15P2,-2,ADP-glucose,C00498,ADP-D-GLUCOSE
adprib,C15H21N5O14P2,-2,ADP-ribose,C00301,ADENOSINE_DIPHOSPHATE_RIBOSE
adsel,C10H12N5O10PSe,-2,Adenylylselenate,C05686,
agdpcbi,C68H95CoN21O21P2,-1,Adenosine-GDP-cobinamide,C06510,ADENOSYLCOBINAMIDE-GDP
agm,C5H16N4,2,Agmatine,C00179,SPERMIDINE
ahcys,C14H20N6O5S,0,S-Adenosyl-L-homocysteine,C00021,HOMO-SER
ahdt,C9H12N5O13P3,-4,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",C04895,DIHYDRONEOPTERIN-P3
aicar,C9H13N4O8P,-2,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,C04677,PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE
air,C8H12N3O7P,-2,5-amino-1-(5-phospho-D-ribosyl)imidazole,C03373,6-PYRUVOYL-5678-TETRAHYDROPTERIN
akg,C5H4O5,-2,2-Oxoglutarate,C00026,2-METHYLTHIO-N-6-ISOPENTYL-ADENOSINE-37-
alaala,C6H12N2O3,0,D-Alanyl-D-alanine,C00993,D-ALA-D-ALA
ala-B,C3H7NO2,0,beta-Alanine,C00099,PROTEIN-C-TERMINAL-S-ETC-CYSTEINE
alac-S,C5H7O4,-1,(S)-2-Acetolactate,C00900,
ala-D,C3H7NO2,0,D-Alanine,C00133,D-PROLINE
ala-L,C3H7NO2,0,L-Alanine,C00041,LYS
aldpmnd,C7H13Cl2N2O3P,-2,Aldophosphamide,C07645,
allphn,C2H3N2O3,-1,Urea-1-carboxylate,C01010,CPD-578
alltn,C4H6N4O3,0,(S)(+)-Allantoin,C02350,
alltt,C4H7N4O4,-1,Allantoate,C00499,
altrn,C6H11O7,-1,D-Altronate,C00817,D-ALTRONATE
aman6p,C7H13N1O9R1P1,0,N-Acyl-D-mannosamine 6-phosphate,C00686,CPD-841
amet,C15H23N6O5S,1,S-Adenosyl-L-methionine,C00019,L-ALLO-THREONINE
ametam,C14H24N6O3S,2,S-Adenosylmethioninamine,C01137,
amimdecarbam,C4H6N4O,0,5-Amino-4-imidazolecarboxyamide,C04051,
aminopropylcdvn,C8H24N3,3,Aminopropylcadaverine,C16565,
amnpent,C5H11NO2,0,5-Aminopentanoate,C00431,5-METHYLTHIOADENOSINE
amnpentam,C5H13N2O,1,5-Aminopentanamide,C00990,
amob,C15H19N5O6S,0,S-Adenosyl-4-methylthio-2-oxobutanoate,C04425,S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE
amp,C10H12N5O7P,-2,AMP,C00020,AMP
amprop,C3H11NO,2,(R)-1-Aminopropan-2-ol,C03194,
amyls,C6H10O5,0,Amylose,C00718,
anm9p,C10H17N1O12R1P1,0,N-Acylneuraminate 9-phosphate,C01200,CPD-624
anNH,C22H37N1O2,0,Anandamide,C11695,CPD-8891
anth,C7H6NO2,-1,Anthranilate,C00108,ANTHRANILATE
applp,C3H9NO4P,-1,D-1-Aminopropan-2-ol O-phosphate,C04122,R-1-AMINOPROPAN-2-YL-PHOSPHATE
aps,C10H12N5O10PS,-2,Adenosine 5-phosphosulfate,C00224,APS
arab,C15H24O12,0,alpha-L-Arabinan,C02474,
arab-D,C5H10O5,0,D-Arabinose,C00216,D-XYLULOSE
arabhp,C6H15O9P,2,D-arabino-Hex-3-ulose 6-phosphate,C06019,
arab-L,C5H10O5,0,L-Arabinose,C00259,
arab-L[e],C5H10O5,0,L-Arabinose,C00259,
arbt6p,C12H15O10P,-2,Arbutin 6-phosphate,C06187,CPD-1162
archdnt,C20H31O2,-1,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid",C00219,THREO-DS-ISO-CITRATE
arg-L,C6H15N4O2,1,L-Arginine,C00062,CYS
argsuc,C10H17N4O6,-1,N(omega)-(L-Arginino)succinate,C03406,L-ARGININO-SUCCINATE
arog-L,C10H13NO5,0,L-Arogenate,C00826,
ascb-L,C6H8O6,0,Ascorbate,C00072,
ascb-L[e],C6H8O6,0,Ascorbate,C00072,ASCORBATE
asn-L,C4H8N2O3,0,L-Asparagine,C00152,GLN
asp-D,C4H6NO4,-1,D-Aspartate,C00402,D-GLT
asp-L,C4H6NO4,-1,L-Aspartate,C00049,GLUCONATE
aspsa,C4H7NO3,0,L-Aspartate 4-semialdehyde,C00441,L-GLUTAMATE_GAMMA-SEMIALDEHYDE
athr-L,C4H9NO3,0,L-Allo-threonine,C05519,3-P-SERINE
atp,C10H12N5O13P3,-4,ATP,C00002,ATP
b124tc,C7H5O6,-3,"(Z)-But-1-ene-1,2,4-tricarboxylate",C04002,HOMO-CIS-ACONITATE
b2coa,C25H36N7O17P3S,-4,Crotonoyl-CoA,C00877,CROTONYL-COA
bdg2hc,C15H18O8,0,cis-beta-D-Glucosyl-2-hydroxycinnamate,C05839,C05839
benzp,C7H5O5P,-2,Benzoyl phosphate,C06206,
betald,C5H12NO,1,Betaine aldehyde,C00576,
bgly,C9H8NO3,-1,Hippurate,C01586,CPD-425
biocprot,C17H27N5O4SR2,0,Holo-[carboxylase],C06250,
btal,C4H8O,0,Butanal,C01412,
btamp,C20H27N7O9PS,-1,Biotinyl-5-AMP,C05921,
btcoa,C25H38N7O17P3S,-4,Butanoyl-CoA,C00136,BUTYRYL-COA
btn,C10H15N2O3S,-1,Biotin,C00120,BIOTIN
btn[e],C10H15N2O3S,-1,Biotin,C00120,BIOTIN
but,C4H7O2,-1,Butanoic acid,C00246,
but[e],C4H7O2,-1,Butanoic acid,C00246,BUTYRIC_ACID
butoh,C4H10O,0,1-Butanol,C06142,
butoh[e],C4H10O,0,1-Butanol,C06142,
butylphos,C4H7O5P,-2,Butanoylphosphate,C02527,BUTYRYL-P
bz,C7H5O2,-1,Benzoate,C00180,BENZOATE
c17cycACP,C17H30OSR,-1,,,
c19cycACP,C19H34OSR,-1,,,
