Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
MLTG1,Maltodextrin glucosidase (maltotriose),[c]h2o + malttr --> glc-D + malt,Alternate Carbon Metabolism,,10,,,
MLTG2,Maltodextrin glucosidase (maltotetraose),[c]h2o + maltttr --> glc-D + malttr,Alternate Carbon Metabolism,,10,,,
MLTG3,Maltodextrin glucosidase (maltopentaose),[c]h2o + maltpt --> glc-D + maltttr,Alternate Carbon Metabolism,,10,,,
MLTG4,Maltodextrin glucosidase (maltohexaose),[c]h2o + malthx --> glc-D + maltpt,Alternate Carbon Metabolism,,10,,,
MLTG5,Maltodextrin glucosidase (maltoheptaose),[c]h2o + malthp --> glc-D + malthx,Alternate Carbon Metabolism,,10,,,
MAN6PI,mannose-6-phosphate isomerase,[c]man6p <==> f6p,Alternate Carbon Metabolism,EC-5.3.1.8,,,,
GALS3,a-galactosidase (melibiose),[c]h2o + melib --> gal + glc-D,Alternate Carbon Metabolism,EC-3.2.1.22,,,,
3HCINNMH,3-hydroxycinnamate hydroxylase,[c]3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad,Alternate Carbon Metabolism,,24,,,
3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,[c]3hpppn + h + nadh + o2 --> dhpppn + h2o + nad,Alternate Carbon Metabolism,,24,,,
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",[c]dhcinnm + o2 --> hkntd,Alternate Carbon Metabolism,,24,,,
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",[c]dhpppn + o2 --> hkndd,Alternate Carbon Metabolism,EC-1.13.11.16,"12,24",,,
HKNDDH,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",[c]h2o + hkndd --> (2) h + op4en + succ,Alternate Carbon Metabolism,,"24,31",,,
HKNTDH,2-hydroxy-6-ketononotrienedioate hydrolase,[c]h2o + hkntd --> fum + (2) h + op4en,Alternate Carbon Metabolism,,"24,31",,,
OP4ENH,2-oxopent-4-enoate hydratase,[c]h2o + op4en --> 4h2opntn,Alternate Carbon Metabolism,EC-4.2.1.80,31,,,
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,[c]4h2opntn --> acald + pyr,Alternate Carbon Metabolism,,31,,,
ACALDi,acetaldehyde dehydrogenase (acetylating),[c]acald + coa + nad --> accoa + h + nadh,Alternate Carbon Metabolism,EC-1.2.1.10,,,,
M1PD,mannitol-1-phosphate 5-dehydrogenase,[c]mnl1p + nad <==> f6p + h + nadh,Alternate Carbon Metabolism,EC-1.1.1.17,,,,
AGDC,N-acetylglucosamine-6-phosphate deacetylase,[c]acgam6p + h2o --> ac + gam6p,Alternate Carbon Metabolism,EC-3.5.1.25,,,,
G6PDA,glucosamine-6-phosphate deaminase,[c]gam6p + h2o --> f6p + nh4,Alternate Carbon Metabolism,EC-3.5.99.6,,,,
ACNML,N-Acetylneuraminate lyase,[c]acnam --> acmana + pyr,Alternate Carbon Metabolism,EC-4.1.3.3,,,,
TRE6PS,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",[c]g6p + udpg --> h + tre6p + udp,Alternate Carbon Metabolism,EC-2.4.1.15,"38,50,55",,,
TRE6PP,trehalose-phosphatase,[c]h2o + tre6p --> pi + tre,Alternate Carbon Metabolism,EC-3.1.3.12,"50,55",,,
PACCOAL,phenylacetate-CoA ligase,[c]atp + coa + pac --> amp + phaccoa + ppi,Alternate Carbon Metabolism,EC-6.2.1.30,"25,32",,,
PFK_2,Phosphofructokinase,[c]atp + tag6p-D --> adp + h + tagdp-D,Alternate Carbon Metabolism,EC-2.7.1.11,,,,
PGMT,phosphoglucomutase,[c]g1p <==> g6p,Alternate Carbon Metabolism,EC-5.4.2.2,,,,
MCITL2,methylisocitrate lyase,[c]micit <==> pyr + succ,Alternate Carbon Metabolism,EC-4.1.3.30,106,,,
MCITS,2-methylcitrate synthase,[c]h2o + oaa + ppcoa --> 2mcit + coa + h,Alternate Carbon Metabolism,EC-4.1.3.31,106,,,
MCITD,2-methylcitrate dehydratase,[c]2mcit --> 2mcacn + h2o,Alternate Carbon Metabolism,EC-4.2.1.79,8,,,
ACCOAL,acetate-CoA ligase (ADP-forming),[c]atp + coa + ppa --> adp + pi + ppcoa,Alternate Carbon Metabolism,EC-6.2.1.13,106,,,
PTA2,Phosphate acetyltransferase,[c]pi + ppcoa --> coa + ppap,Alternate Carbon Metabolism,,47,,,
RBK,ribokinase,[c]atp + rib-D --> adp + h + r5p,Alternate Carbon Metabolism,EC-2.7.1.15,,,,
RMI,L-rhamnose isomerase,[c]rmn <==> rml,Alternate Carbon Metabolism,EC-5.3.1.14,,,,
RMK,rhamnulokinase,[c]atp + rml --> adp + h + rml1p,Alternate Carbon Metabolism,EC-2.7.1.5,,,,
RMPA,Rhamnulose-1-phosphate aldolase,[c]rml1p <==> dhap + lald-L,Alternate Carbon Metabolism,EC-4.1.2.19,,,,
MMM2,Methylmalonyl-CoA mutase,[c]succoa --> mmcoa-R,Alternate Carbon Metabolism,EC-5.4.99.2,43,,,
KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,[c]3dgulnp + h --> co2 + xu5p-L,Alternate Carbon Metabolism,,120,,,
X5PL3E,L-xylulose 5-phosphate 3-epimerase,[c]xu5p-L --> ru5p-L,Alternate Carbon Metabolism,,120,,,
SBTPD,sorbitol-6-phosphate dehydrogenase,[c]nad + sbt6p <==> f6p + h + nadh,Alternate Carbon Metabolism,EC-1.1.1.140,,,,
TAUDO,Taurine dioxygenase,[c]akg + o2 + taur --> aacald + co2 + h + so3 + succ,Alternate Carbon Metabolism,EC-1.14.11.17,95,,,
PPAKr,Propionate kinase,[c]adp + ppap <==> atp + ppa,Alternate Carbon Metabolism,,47,,,
OBTFL,2-Oxobutanoate formate lyase,[c]2obut + coa --> for + ppcoa,Alternate Carbon Metabolism,,47,,,
TREHe,"alpha,alpha-trehalase",[e]h2o + tre --> (2) glc-D,Alternate Carbon Metabolism,EC-3.2.1.28,50,,,
TRE6PH,trehalose-6-phosphate hydrolase,[c]h2o + tre6p --> g6p + glc-D,Alternate Carbon Metabolism,EC-3.2.1.93,,,,
TREH,"alpha,alpha-trehalase",[c]h2o + tre --> (2) glc-D,Alternate Carbon Metabolism,EC-3.2.1.28,50,,,
TARTD,L(+)-tartrate dehydratase,[c]tartr-L --> h2o + oaa,Alternate Carbon Metabolism,EC-4.2.1.32,92,,,
PEAMNO,Phenethylamine oxidase,[c]h2o + o2 + peamn --> h2o2 + nh4 + pacald,Alternate Carbon Metabolism,EC-1.4.3.6,25,,,
ALTRH,altronate hydrolase,[c]altrn --> 2ddglcn + h2o,Alternate Carbon Metabolism,EC-4.2.1.7,132,,,
TAGURr,tagaturonate reductase,[c]altrn + nad <==> h + nadh + tagur,Alternate Carbon Metabolism,EC-1.1.1.58,132,,,
GUI1,glucuronate isomerase (D-glucuronate),[c]glcur <==> fruur,Alternate Carbon Metabolism,EC-5.3.1.12,132,,,
GUI2,glucuronate isomerase (D-galacturonate),[c]galur <==> tagur,Alternate Carbon Metabolism,EC-5.3.1.12,132,,,
MNNH,D-mannonate hydrolyase,[c]mana --> 2ddglcn + h2o,Alternate Carbon Metabolism,EC-4.2.1.8,132,,,
MANAO,Mannonate oxidoreductase,[c]mana + nad <==> fruur + h + nadh,Alternate Carbon Metabolism,EC-1.1.1.57,132,,,
XYLI2i,xylose isomerase,[c]fru --> glc-D,Alternate Carbon Metabolism,EC-5.3.1.5,,,,
XYLI1,xylose isomerase,[c]xyl-D <==> xylu-D,Alternate Carbon Metabolism,EC-5.3.1.5,,,,
XYLK,xylulokinase,[c]atp + xylu-D --> adp + h + xu5p-D,Alternate Carbon Metabolism,EC-2.7.1.17,,,,
DKGLCNR1,"2,5-diketo-D-gluconate reductase",[c]25dkglcn + h + nadph --> 2dhguln + nadp,Alternate Carbon Metabolism,,122,,,
HPYRRx,Hydroxypyruvate reductase (NADH),[c]h + hpyr + nadh --> glyc-R + nad,Alternate Carbon Metabolism,,77,,,
HPYRRy,Hydroxypyruvate reductase (NADPH),[c]h + hpyr + nadph --> glyc-R + nadp,Alternate Carbon Metabolism,,77,,,
GLCRD,glucarate dehydratase,[c]glcr --> 5dh4dglc + h2o,Alternate Carbon Metabolism,EC-4.2.1.40,51,,,
MMCD,Methylmalonyl-CoA decarboxylase,[c]h + mmcoa-S --> co2 + ppcoa,Alternate Carbon Metabolism,EC-4.1.1.41,43,,,
PPCSCT,Propanoyl-CoA: succinate CoA-transferase,[c]ppcoa + succ --> ppa + succoa,Alternate Carbon Metabolism,,43,,,
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",[c]25dkglcn + h + nadph --> 5dglcn + nadp,Alternate Carbon Metabolism,,121,,,
2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),[c]2dhglcn + h + nadh --> glcn + nad,Alternate Carbon Metabolism,,121,,,
2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),[c]2dhglcn + h + nadph --> glcn + nadp,Alternate Carbon Metabolism,EC-1.1.1.215,121,,,
DKGLCNR2x,"2,5-diketo-D-gluconate reductase (NADH)",[c]25dkglcn + h + nadh --> 5dglcn + nad,Alternate Carbon Metabolism,,121,,,
2DGULRx,2-dehydro-L-gulonate reductase (NADH),[c]2dhguln + h + nadh --> idon-L + nad,Alternate Carbon Metabolism,,121,,,
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),[c]2dhguln + h + nadph --> idon-L + nadp,Alternate Carbon Metabolism,,121,,,
DOGULNR,"2,3 dioxo-L-gulonate reductase",[c]23doguln + h + nadh --> 3dhguln + nad,Alternate Carbon Metabolism,,120,,,
ICL,Isocitrate lyase,[c]icit --> glx + succ,Anaplerotic reactions,EC-4.1.3.1,,,,
MALS,malate synthase,[c]accoa + glx + h2o --> coa + h + mal-L,Anaplerotic reactions,EC-4.1.3.2,,,,
ME2,malic enzyme (NADP),[c]mal-L + nadp --> co2 + nadph + pyr,Anaplerotic reactions,EC-1.1.1.40,,,,
PPCK,phosphoenolpyruvate carboxykinase,[c]atp + oaa --> adp + co2 + pep,Anaplerotic reactions,EC-4.1.1.49,,,,
PPA,inorganic diphosphatase,[c]h2o + ppi --> h + (2) pi,Anaplerotic reactions,EC-3.6.1.1,,,,
PPC,phosphoenolpyruvate carboxylase,[c]co2 + h2o + pep --> h + oaa + pi,Anaplerotic reactions,EC-4.1.1.31,,,,
ME1,malic enzyme (NAD),[c]mal-L + nad --> co2 + nadh + pyr,Anaplerotic reactions,EC-1.1.1.38,,,,
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,[c]5mdru1p --> dkmpp + h2o,Arginine and Proline Metabolism,,101,,,
DKMPPD2,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",[c]dkmpp + (3) h2o --> 2kmb + for + (6) h + pi,Arginine and Proline Metabolism,,101,,,
PTRCTA,Putrescine Transaminase,[c]akg + ptrc --> 4abutn + glu-L,Arginine and Proline Metabolism,,,,,
SSALx,succinate-semialdehyde dehydrogenase (NAD),[c]h2o + nad + sucsal --> (2) h + nadh + succ,Arginine and Proline Metabolism,EC-1.2.1.16,,,,
ABUTD,Aminobutyraldehyde dehydrogenase,[c]4abutn + h2o + nad --> 4abut + (2) h + nadh,Arginine and Proline Metabolism,EC-1.2.1.19,,,,
MTRK,5-methylthioribose kinase,[c]5mtr + atp --> 5mdr1p + adp + h,Arginine and Proline Metabolism,EC-2.7.1.100,,,,
MTRI,5-methylthioribose-1-phosphate isomerase,[c]5mdr1p <==> 5mdru1p,Arginine and Proline Metabolism,EC-5.3.1.23,,,,
DKMPPD,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",[c]dkmpp + h2o + o2 --> 2kmb + for + (2) h + pi,Arginine and Proline Metabolism,,,,,
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),[c]glu5sa --> 1pyr5c + h + h2o,Arginine and Proline Metabolism,,,,,
UNK3,2-keto-4-methylthiobutyrate transamination,[c]2kmb + glu-L --> akg + met-L,Arginine and Proline Metabolism,,,,,
ACGS,N-acetylglutamate synthase,[c]accoa + glu-L --> acglu + coa + h,Arginine and Proline Metabolism,EC-2.3.1.1,,,,
ACGK,acetylglutamate kinase,[c]acglu + atp --> acg5p + adp,Arginine and Proline Metabolism,EC-2.7.2.8,,,,
AGPR,N-acetyl-g-glutamyl-phosphate reductase,[c]acg5sa + nadp + pi <==> acg5p + h + nadph,Arginine and Proline Metabolism,EC-1.2.1.38,,,,
ACOTA,acetylornithine transaminase,[c]acorn + akg <==> acg5sa + glu-L,Arginine and Proline Metabolism,EC-2.6.1.11,,,,
NACODA,N-acetylornithine deacetylase,[c]acg5sa + h2o --> ac + glu5sa,Arginine and Proline Metabolism,,,,,
ACODA,acetylornithine deacetylase,[c]acorn + h2o --> ac + orn,Arginine and Proline Metabolism,EC-3.5.1.16,,,,
ARGSS,argininosuccinate synthase,[c]asp-L + atp + citr-L --> amp + argsuc + h + ppi,Arginine and Proline Metabolism,EC-6.3.4.5,,,,
ARGSL,argininosuccinate lyase,[c]argsuc <==> arg-L + fum,Arginine and Proline Metabolism,EC-4.3.2.1,,,,
OCBT,ornithine carbamoyltransferase,[c]cbp + orn <==> citr-L + h + pi,Arginine and Proline Metabolism,EC-2.1.3.3,,,,
AST,Arginine succinyltransferase,[c]arg-L + succoa --> coa + h + sucarg,Arginine and Proline Metabolism,EC-2.3.1.109,99,,,
SOTA,Succinylornithine transaminase,[c]akg + sucorn --> glu-L + sucgsa,Arginine and Proline Metabolism,,99,,,
SADH,Succinylarginine dihydrolase,[c](2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn,Arginine and Proline Metabolism,EC-2.6.1.69,99,,,
SGSAD,Succinylglutamic semialdehyde dehydrogenase,[c]h2o + nad + sucgsa --> (2) h + nadh + sucglu,Arginine and Proline Metabolism,,99,,,
SGDS,Succinylglutamate desuccinylase,[c]h2o + sucglu --> glu-L + succ,Arginine and Proline Metabolism,,99,,,
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),[c](2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi,Arginine and Proline Metabolism,EC-6.3.5.5,,,,
SSALy,succinate-semialdehyde dehydrogenase (NADP),[c]h2o + nadp + sucsal --> (2) h + nadph + succ,Arginine and Proline Metabolism,EC-1.2.1.16,,,,
ABTA,4-aminobutyrate transaminase,[c]4abut + akg --> glu-L + sucsal,Arginine and Proline Metabolism,EC-2.6.1.19,,,,
GSPMDA,Glutathionylspermidine amidase,[c]gtspmd + h2o --> gthrd + spmd,Arginine and Proline Metabolism,EC-3.5.1.78,9,,,
GSPMDS,Glutathionylspermidine synthetase,[c]atp + gthrd + spmd --> adp + gtspmd + h + pi,Arginine and Proline Metabolism,EC-6.3.1.8,9,,,
MTAN,methylthioadenosine nucleosidase,[c]5mta + h2o --> 5mtr + ade,Arginine and Proline Metabolism,EC-3.2.2.16,21,,,
G5SD,glutamate-5-semialdehyde dehydrogenase,[c]glu5p + h + nadph --> glu5sa + nadp + pi,Arginine and Proline Metabolism,EC-1.2.1.41,,,,
GLU5K,glutamate 5-kinase,[c]atp + glu-L --> adp + glu5p,Arginine and Proline Metabolism,EC-2.7.2.11,,,,
P5CR,pyrroline-5-carboxylate reductase,[c]1pyr5c + (2) h + nadph --> nadp + pro-L,Arginine and Proline Metabolism,EC-1.5.1.2,,,,
P5CD,1-pyrroline-5-carboxylate dehydrogenase,[c]1pyr5c + (2) h2o + nad --> glu-L + h + nadh,Arginine and Proline Metabolism,EC-1.5.1.12,,,,
PROD2,Proline dehydrogenase,[c]fad + pro-L --> 1pyr5c + fadh2 + h,Arginine and Proline Metabolism,EC-1.5.99.8,,,,
ARGDC,arginine decarboxylase,[c]arg-L + h --> agm + co2,Arginine and Proline Metabolism,EC-4.1.1.19,,,,
AGMT,agmatinase,[c]agm + h2o --> ptrc + urea,Arginine and Proline Metabolism,EC-3.5.3.11,,,,
ORNDC,Ornithine Decarboxylase,[c]h + orn --> co2 + ptrc,Arginine and Proline Metabolism,EC-4.1.1.17,,,,
ADMDCr,Adenosylmethionine decarboxylase,[c]amet + h <==> ametam + co2,Arginine and Proline Metabolism,EC-4.1.1.50,,,,
SPMS,spermidine synthase,[c]ametam + ptrc --> 5mta + h + spmd,Arginine and Proline Metabolism,EC-2.5.1.16,,,,
SPMDAT1,Spermidine acetyltransferase,[c]accoa + spmd --> N1aspmd + coa + h,Arginine and Proline Metabolism,EC-2.3.1.57,35,,,
SPMDAT2,Spermidine acetyltransferase (N8),[c]accoa + spmd --> coa + h + n8aspmd,Arginine and Proline Metabolism,EC-2.3.1.57,35,,,
ORNTA,ornithine transaminase,[c]akg + orn --> glu-L + glu5sa,Arginine and Proline Metabolism,EC-2.6.1.13,,,,
PPTGS,Peptidoglycan subunit synthesis,[c]uaagmda --> h + peptido_EC + udcpdp,Cell Envelope Biosynthesis,,62,,,
UDCPDP,undecaprenyl-diphosphatase,[c]h2o + udcpdp --> h + pi + udcpp,Cell Envelope Biosynthesis,EC-3.6.1.27,62,,,
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,[c]h2o + kdo8p --> kdo + pi,Cell Envelope Biosynthesis,EC-3.1.3.45,,,,
