Abbreviation,KEGG ID
(-)-Tylocrebrine,C10620
(-)-Variabilin,C10539
(-)-Viburnitol,C08259
(-)-alpha-Hydrastine,C09462
(-)-beta-Phellandrene,C11392
(-)-trans-Carveol,C00964
(-)-trans-Isopiperitenol,C01123
"(1,4)-beta-D-Glucuronan",C06750
(1->3)-beta-D-Galactans,C07283
(1-Hydroxycyclohexan-1-yl)acetyl-CoA,C04316
(1-Ribosylimidazole)-4-acetate,C05131
(10)-Gingerol,C17496
(10S)-Juvenile hormone III acid diol,C16506
(10S)-Juvenile hormone III diol,C16505
(10S)-Juvenile hormone III diol phosphate,C16507
"(11E)-9,10-Epoxyoctadecenoic acid",C14834
(11E)-Tetradecenoyl-CoA,C06736
(11Z)-Tetradecenoyl-CoA,C06737
"(11Z,14Z)-Icosadienoyl-CoA",C16180
"(11Z,14Z,17Z)-Icosatrienoyl-CoA",C16179
"(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate",C04654
(13S)-13-Dihydrodaunorubicin,C12433
"(13Z,16Z)-Docosadi-13,16-enoyl-CoA",C16645
(15:1)-Cardanol,C10785
"(17Z)-3,11-Dioxopregna-4,17(20)-dien-21-oic acid methyl ester",C15267
"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14793
"(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene",C14796
"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C14791
"(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14797
"(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2- oxopropanoic acid",C14799
"(1R,2R,4R)-Dihydrocarveol",C11396
"(1R,2R,4S)-Iso-dihydrocarveol",C11411
"(1R,2S)-Naphthalene epoxide",C14786
"(1R,2S,4R)-Neo-dihydrocarveol",C11397
"(1R,2S,4S)- Neoiso-dihydrocarveol",C11410
"(1R,4R)-Dihydrocarvone",C11398
"(1R,4S)-Iso-dihydrocarvone",C11412
"(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene",C14798
"(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C14792
"(1S,2R)-Naphthalene epoxide",C14787
"(1S,2R,4R)-Neoiso-dihydrocarveol",C11400
"(1S,2R,4S)-(-)-Bornyl acetate",C09837
"(1S,2R,4S)-Neo-dihydrocarveol",C11416
"(1S,2S,4R)-Iso-dihydrocarveol",C11399
"(1S,2S,4S)-Dihydrocarveol",C11413
"(1S,3R)-Nanaomycin A",C10377
"(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate",C04687
"(1S,4R)-(-)-Fenchone",C11387
"(1S,4R)-1-Hydroxy-2-oxolimonene",C11937
"(1S,4R)-Iso-dihydrocarvone",C11401
"(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate",C04670
"(1S,4S)-Dihydrocarvone",C11415
"(2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",C15935
(2'S)-Deoxymyxol 2'-alpha-L-fucoside,C15940
"(2-Butylbenzofuran-3-yl)(4-hydroxy-3,5-diiodophenyl)ketone",C15143
(2-Naphthyl)methanol,C02909
"(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucoside",C04859
"(22R,23R)-22,23-Dihydroxy-campest-4-en-3-one",C16253
"(22R,23R)-22,23-Dihydroxycampesterol",C16252
(24R)-24-Methylcycloarta-25-en-3-beta-ol,C11513
"(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26- oyl-CoA",C15614
"(24R,28R)-Fucosterol epoxide",C03910
"(24S)-Cholest-5-ene-3beta,7alpha,24-triol",C15518
"(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA",C15613
"(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C17345
"(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA",C17343
"(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C17346
"(2E)-5-Methylhexa-2,4-dienoyl-CoA",C16468
"(2E,6E)-10,11-Epoxy-3,7,11-trimethyltridecadienoic acid",C04834
"(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",C16387
"(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahepta-2,6,9,12,15,18,21-enoyl- CoA",C16374
(2R)-2-Methylacyl-CoA,C05329
(2R)-3-Sulfolactate,C11537
(2R)-Hydroxy-carboxylate,C15487
(2R)-Phosphosulfolactate,C11536
"(2R,3S)-2,3-Dimethylmalate",C03652
(2S)-2-Methylacyl-CoA,C05232
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,C06326
(2S)-Flavan-4-ol,C02345
(2S)-Flavanone,C02099
"(2S,2'S)-Oscillol",C16274
"(2S,2'S)-Oscillol 2,2'-di(alpha-L-fucoside)",C16275
"(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate",C04655
"(2S,5S)-trans-Carboxymethylproline",C17366
"(2Z,6E)-Farnesyl diphosphate",C16826
"(3'R,4'R)-3'-Epoxyangeloyloxy-4'-acetoxy-3',4'-dihydroseselin",C09262
(3-Arylcarbonyl)-alanine,C03450
(3R)-3-Isopropenyl-6-oxoheptanoate,C11405
(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA,C11407
(3R)-6-Hydroxy-3-isopropenyl-heptanoate,C11404
"(3R,2'S)-Myxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",C15937
"(3R,2'S)-Myxol 2'-alpha-L-fucoside",C15941
(3S)-3-Hydroxyacyl-N-acylthioethanolamine,C04515
(3S)-3-Hydroxyacyl-hydrolipoate,C04031
(3S)-3-Isopropenyl-6-oxoheptanoate,C11419
(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA,C11421
(3S)-6-Hydroxy-3-isopropenyl-heptanoate,C11417
(3S)-Citryl-CoA,C00566
"(3S,2'S)-4-Ketomyxol 2'-alpha-L-fucoside",C15942
"(3S,4R)-Ketose 1-phosphate",C03654
"(3S,4S)-3-Hydroxytetradecane-1,3,4-tricarboxylate",C04529
"(3S,5S)-3,5-Diaminocaproate",C01186
"(3S,5S)-Carbapenam-3-carboxylate",C17367
"(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone",C11403
"(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone",C11418
(3Z)-Phycocyanobilin,C05786
(3Z)-Phycoerythrobilin,C05912
(3Z)-Phytochromobilin,C05913
"(4R,6R)-cis-Carveol",C11395
"(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone",C11402
"(4S,5S)-(+)-Germacrone 4,5-epoxide",C17489
"(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate",C04471
"(4S,6S)-cis-Carveol",C11408
"(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone",C11414
"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA",C16173
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA",C16169
(5')ppPur-mRNA,C02100
"(5,12,13-Triaza-indeno[1,2-b]anthracen-13-yl)-acetic acid ethyl ester",C11568
(5-L-Glutamyl)-L-amino acid,C03740
(5-L-Glutamyl)-L-glutamate,C05282
(5-L-Glutamyl)-L-glutamine,C05283
(5-L-Glutamyl)-peptide,C03193
(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate,C11406
(5R)-Albaflavenol,C17955
(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate,C11420
(5S)-Albaflavenol,C17953
"(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate",C04671
"(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate",C04707
"(5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate",C04835
"(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate",C04758
"(5Z,7E,9E,14Z,17Z)-Eicosapentaenoate",C12083
"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA",C16165
"(5alpha,17beta)-3-Methyl-androst-2-en-17-ol",C14906
"(6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide",C04856
"(6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide 2'-phosphate",C04899
(6S)-Hydroxyhyoscyamine,C03325
"(6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapenta-6,9,12,15,18-enoyl-CoA",C16388
"(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapenta-6,9,12,15,18-enoyl-CoA",C16389
"(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA",C16172
"(6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexa-6,9,12,15,18,21- enoyl-CoA",C16375
"(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexa-6,9,12,15,18,21-enoyl-CoA",C16376
"(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA",C16168
"(6aR,11aR)-3,9-Dihydroxypterocarpan",C04271
"(7S,8S)-DiHODE",C07354
"(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA",C16170
"(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA",C16166
(8)-Gingerol,C17495
"(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA",C16164
"(9R,13R)-12-Oxo-phytodienoic acid",C13816
"(9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate",C15989
"(9S,10S)-9,10-Dihydroxyoctadecanoate",C15988
"(9Z,11E)-Octadecadienoic acid",C04056
"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate",C07338
"(9Z,12Z,15Z)-(7S,8S)-Dihydroxyoctadeca-9,12,15-trienoate",C07357
"(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA",C16171
"(9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA",C16167
(Ac)2-L-Lys-D-Ala,C02487
(Ac)2-L-Lys-D-Ala-D-Ala,C03326
(D-Ala1->2Gro-1-P)n,C03999
(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide,C04621
(E)-2-(Methoxycarbonylmethyl)butenedioate,C11515
"(E)-3,7-Dimethylocta-1,6-diene-3,8-diol",C04433
(E)-4-Hydroxyphenylacetaldehyde-oxime,C04350
(E)-4-Nitrostilbene,C14662
(E)-4-Stilbenol,C14763
(E)-Ajoene,C16758
(E)-Cinnamoyl-CoA,C16256
(E)-Methoxy-4'-nitrostilbene,C14622
"(E,E)-Piperoyl-CoA",C02611
"(E,E,E)-N-(2-Methylpropyl)hexadeca-2,6,8-trien-10-ynamide",C08454
(Glycerophosphate)n,C02768
(Hydroxymethylphenyl)succinyl-CoA,C09819
(L)-alpha-Terpineol,C11393
"(N-Acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N- acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-R",C04940
(N-Sulfoindol-3-yl)methylglucosinolate,C08428
(Phosphate)n,C00404
"(Phosphoglyceryl)3-N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol",C05846
"(Phosphoglyceryl)n-(Phosphoglyceryl)3-N-acetyl-beta-D-mannosaminyl- 1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol",C05857
"(Phosphoglycerylglycosyl)n-(Phosphoglyceryl)3-N-acetyl-beta-D- mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol",C05858
(R)-(+)-Citronellal,C09848
(R)-(+)-alpha-Terpineol,C09902
(R)-(-)-alpha-Phellandrene,C09875
"(R)-1,2-Epoxypropane",C11506
(R)-10-Hydroxystearate,C03195
(R)-2-(n-Propyl)-malate,C03328
(R)-2-Ethylmalate,C02488
(R)-2-Haloacid,C15564
(R)-2-Hydroxyacid,C02489
(R)-2-Hydroxyglutarate,C01087
(R)-2-Hydroxystearate,C03042
(R)-2-Methylimino-1-phenylpropan-1-ol,C04351
(R)-2-O-Sulfolactate,C17205
"(R)-3,3-Dimethylmalate",C01088
(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,C04546
(R)-3-(4-Hydroxyphenyl)lactate,C03964
(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C14463
(R)-3-Hydroxyacyl-CoA,C01086
(R)-3-Hydroxybutanoyl-CoA,C03561
(R)-3-Hydroxycapryloyl-CoA,C05278
(R)-4'-Deoxyindenestrol,C14541
(R)-4-Dehydropantoate,C01053
(R)-4-Hydroxymandelate,C05343
(R)-4-Methoxydalbergione,C10505
(R)-5-Deoxyindenestrol,C14543
(R)-6-Hydroxynicotine,C03043
(R)-AMAA,C13739
(R)-Allantoin,C02348
(R)-Amygdalin,C08325
(R)-Canadine,C11818
(R)-Indenestrol A,C14546
(R)-Indenestrol B,C14548
(R)-Lipoic acid,C16241
(R)-Mandelamide,C07301
(R)-Mandelate,C01983
(R)-N-Methylcoclaurine,C05243
(R)-Nicotine,C16386
(R)-Norcoclaurine,C06347
(R)-Norlaudanosoline,C06351
(R)-Pantolactone,C01012
(R)-Phenyllactyl-CoA,C16257
(R)-Prunasin,C00844
(R)-Reticuline,C05178
(R)-Ureidoglycolate,C02766
(R)-Vicianin,C01870
"(R*,S*)-4-[1-Ethyl-2-(4-fluorophenyl)butyl]phenol",C15463
"(R,S)-Nicotine",C16150
"(R,S)-Tetrahydrobenzylisoquinoline",C05201
(RS)-2-[4-(3-Chloro-5-(trifluoromethyl-2-pyridyloxy)phenoxy]- propionic acid,C04871
(Ribitol phosphate)n,C00653
(S)-(+)-alpha-Phellandrene,C11391
(S)-(-)-Citronellal,C11384
"(S)-1,2-Epoxypropane",C11507
(S)-1-Aminopropan-2-yl phosphate,C04126
(S)-1-Phenylethanol,C11348
"(S)-2',6'-Pipecoloxylidide",C16575
(S)-2-(Hydroxymethyl)glutarate,C16390
(S)-2-Aminobutanoate,C02356
(S)-2-Haloacid,C02103
(S)-2-Hydroxyacid,C02613|C15565
(S)-2-Hydroxymonocarboxylic acid,C04096
(S)-2-Hydroxystearate,C03045
(S)-2-O-Sulfolactate,C02914
(S)-20-Hydroxypregn-4-en-3-one,C03965
(S)-3'-Hydroxy-N-methylcoclaurine,C05202
(S)-3'-Hydroxycoclaurine,C06519
(S)-3-(Imidazol-5-yl)lactate,C03817
(S)-3-Hydroxy-3-methyl-2-oxopentanoate,C06005
(S)-3-Hydroxybutanoate,C03197
(S)-3-Sulfolactate,C11499
(S)-4'-Deoxyindenestrol,C14542
(S)-4-Hydroxymandelate,C03198
(S)-4-Hydroxymandelonitrile,C03742
(S)-5-Amino-3-oxohexanoate,C03656
(S)-5-Deoxyindenestrol,C14544
(S)-6-Hydroxynicotine,C01056
(S)-6-O-Methylnorlaudanosoline,C06517
(S)-ACPA,C13673
(S)-AMPA,C13672
(S)-ATPA,C13733
(S)-Acetoin,C01769
(S)-Autumnaline,C16707
(S)-Canadine,C03329
(S)-Cheilanthifoline,C05174
(S)-Coclaurine,C06161
(S)-Corytuberine,C17591
(S)-DNPA,C12434
(S)-F-Willardiine,C13671
(S)-Indenestrol A,C14545
(S)-Indenestrol B,C14547
(S)-Mandelate,C01984
(S)-Mandelonitrile,C02615
(S)-Mandelonitrile beta-D-glucoside,C04273
(S)-Mevalonate,C02104
(S)-N-Methylcanadine,C02915
(S)-N-Methylcoclaurine,C05176
"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1- oxoprolyl]-(S)-alanine benzyl ester",C01316
"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1- oxoprolyl]glycine benzyl ester",C01315
"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1- oxoprolyl]glycine",C01313
"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1-oxoprolyl]- (S)-alanine",C01314
(S)-Norcoclaurine,C06160
(S)-Norlaudanosoline,C02916
(S)-Nororientaline,C06518
(S)-Norreticuline,C06520
(S)-Scoulerine,C02106
(S)-Tetrahydroprotoberberine,C05204
(S)-beta-Methylindolepyruvate,C03914
(S)-cis-N-methylstylopine,C06163
(S)-usnate,C10101
"(S,S)-2,3-Butanediol",C03046
(Ubiquitin)n-calmodulin,C03330
"(Z)-(7S,8S)-Dihydroxyoctadeca-9-enoate",C07355
"(Z)-11beta,21-Dihydroxypregna-1,4,17(20)-trien-3-one",C15303
(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide,C04622
"(Z)-2-Decene-4,6,8-triynoic acid methylester",C08774
"(Z)-3,5-Hexadienyl butyrate",C08489
(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate,C16198
(Z)-4-Hydroxyphenylacetaldehyde-oxime,C04353
(Z)-Ajoene,C16757
(Z)-Phenylacetaldehyde oxime,C16075
"(Z,Z,Z)-3,6,9-Dodecatrien-1-ol",C08375
(alpha-D-Mannosyl)8-beta-D-mannosyl- diacetylchitobiosyldiphosphodolichol,C05868
(alpha-D-Mannosyl)9-beta-D-mannosyl- diacetylchitobiosyldiphosphodolichol,C05869
"(alphaS,betaS)-alpha-Ethyl-alpha-(4-methoxyphenyl)-beta-phenyl-2- pyridineethanol",C15458
(beta-D-Mannuronate)n,C05144
"1',2'-Dihydro-gamma-carotene",C15907
"1',2'-Dihydrochlorobactene",C15910
1'-Acetoxychavicol acetate,C10426
1'-Acetoxyeugenol acetate,C10427
1'-Hydroxy-gamma-carotene,C15859
1'-Hydroxy-gamma-carotene glucoside,C15861
1'-Hydroxy-gamma-carotene glucoside ester,C15864
"1'H-5alpha-Androst-2-eno[3,2-b]indol-17beta-ol",C15128
"1'H-5alpha-Cholest-2-eno[3,2-b]indole",C15445
1(2H)-Isoquinolinone,C06324
"1,1,1,2-Tetrachloroethane",C14705
"1,1,2-Triphenylpropane",C14278
"1,1-Bis(4-hydroxyphenyl)propane",C15210
"1,1-Dichloro-2,2-diphenylethane",C15123
"1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'- chlorophenyl)ethylene",C06644
"1,1-Diphenyl-2-(4-methoxyphenyl)propene",C15179
"1,12-Benzoperylene",C14318
"1,2,3,4,4a,9,10,10a-Octahydro-6-hydroxy-7-isopropyl-1,4a-dimethyl-1- phenanthrenemethanol",C15008
"1,2,3,4-TCDD",C11058
"1,2,3,4-Tetragalloyl-alpha-D-glucose",C10243
"1,2,3,4-Tetrahydro-4-oxo-1-naphthoic acid",C15102
"1,2,3,5-Tetrahydroxybenzene",C03743
"1,2,3,6-Tetrakis-O-galloyl-beta-D-glucose",C04516
"1,2,3-Trichlorobenzene",C14408
"1,2,3-Trichloropropane",C14400
"1,2,4,5-Tetrahydrotestolactone",C14912
"1,2-Anthracenediol",C16204
"1,2-Benzoquinone",C02351
"1,2-Benzpyrene",C14435
"1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol",C04597
"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene",C04547
"1,2-Bis(4-hydroxyphenyl)-2-propanol",C13629
"1,2-Bis-O-sinapoyl-beta-D-glucoside",C04275
"1,2-Campholide",C02108
"1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen",C04759
"1,2-Dehydroreticuline",C06167
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)- 5,6-octadienoyl)-sn-glycerol",C13867
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-O-beta-D-galactosyl-sn- glycerol",C13871
"1,2-Diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol",C06364
"1,2-Diacyl-3-[3-(alpha-D-N-acetylneuraminyl)-beta-D-galactosyl]-sn- glycerol",C04872
"1,2-Dibromo-3-chloropropane",C14336
"1,2-Dibromoethane",C11088
"1,2-Didecanoylglycerol",C03199
"1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate",C13891
"1,2-Dihydro-5-nitro-1,2-naphthalenediol",C14801
"1,2-Dihydronaphthalene-1,2-diol",C06205
"1,2-Dihydrophthalic acid",C16215
"1,2-Dihydrosantonin",C02771
"1,2-Dihydrovomilenine",C11808
"1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene",C14784
"1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate",C06731
"1,2-Dihydroxy-7-hydroxymethylnaphthalene",C14105
"1,2-Dihydroxy-8-carboxynaphthalene",C14093
"1,2-Dihydroxy-8-methylnaphthalene",C14084
"1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate",C04634
"1,2-Dihydroxydibenzothiophene",C06722
"1,2-Dihydroxyfluorene",C07724
"1,2-Dihydroxymint lactone",C09853
"1,2-Dihydroxynaphthalene-6-sulfonate",C16196
"1,2-Dimethoxy-4-[2-(2-propenyloxy)ethenyl]-benzene",C12263
"1,2-Dimethylnaphthalene",C14329
"1,2-Dimyristyl-sn-glycerol",C16667
"1,2-Epoxyhexadecane",C14499
"1,2-Epoxypropane",C15508
"1,2-Ethanediol",C01380
"1,2-Naphthalenediol",C03012
"1,2-Naphthoquinone",C14783
"1,2-O-Diacetylzephyranthine",C12171
"1,2-Octanediol",C14273
"1,2-beta-D-Glucan",C02490
"1,2-beta-D-Glucuronosyl-D-glucuronate",C04354
"1,3,4,5-Tetracaffeoylquinic acid",C10500
"1,3,4,6-Tetrachloro-1,4-cyclohexadiene",C06597
"1,3,5-Trihydroxyxanthone",C10094
"1,3,5-Triphenylcyclohexane",C15437
"1,3,6,8-Naphthalenetetrol",C04033
"1,3,6,8-TCDD",C11059
"1,3,7-Trimethyluric acid",C16361
"1,3,8-Naphthalenertriol",C01173
"1,3-Butadiene",C16450
"1,3-Di-(octadec-9Z-enoyl)-1-cyano-2-methylene-propane-1,3-diol",C13845
"1,3-Diacylglycerol",C06437
"1,3-Dibenzyltetramethyldisiloxane",C14252
"1,3-Dicaffeoylquinic acid",C10445
"1,3-Dichloro-2-propanol",C14399
"1,3-Dihydroxy-N-methylacridone",C12093
"1,3-Dimethyl-6,8-isoquinolinediol",C12345
"1,3-Dimethyl-8-isoquinolinol",C12346
"1,3-Dimethylurea",C16364
"1,3-Diphenylpropane",C14581
"1,3-Diphenyltetramethyldisiloxane",C14251
"1,3-Propanediol",C02457
"1,3-alpha-D-Glucan",C02616
