Compound ID,Description
C01300,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine"
C01346,dUDP
C01352,FADH2
C01530,stearic-acid
C01595,linoleic-acid
C01762,xanthosine
C01801,deoxyribose
C02050,linoleoyl-CoA
C02191,protoporphyrin
C02225,2-methylcitrate
C02291,L-cystathionine
C02567,N1-acetylspermine
C02637,3-dehydroshikimate
C02679,dodecanoic-acid
C02714,N-acetylputrescine
C02737,phosphatidylserine
C02934,3-dehydrosphinganine
C02939,3-methylbutanoyl-CoA
C03035,gamma-linolenoyl-CoA
C03069,3-methylcrotonyl-CoA
C03082,4-phospho-L-aspartate
C03150,N-ribosylnicotinamide
C03175,shikimate-3-phosphate
C03231,3-methylglutaconyl-CoA
C03232,3-phosphonooxypyruvate
C03263,coproporphyrinogen-III
C03287,L-glutamyl-5-phosphate
C03340,"L-2,3-dihydrodipicolinate"
C03344,2-methylacetoacetyl-CoA
C03345,2-methylbut-2-enoyl-CoA
C03451,(R)-S-lactoylglutathione
C03460,methacrylyl-Coa
C03492,D-4-phosphopantothenate
C03684,6-pyruvoyltetrahydropterin
C03794,"N6-(1,2-Dicarboxyethyl)-AMP"
C03862,dolichyl-phosphate-D-mannose
C03892,phosphatidylglycerophosphate
C03912,(S)-1-pyrroline-5-carboxylate
C03972,"2,3,4,5-tetrahydrodipicolinate"
C04006,1D-myo-inositol-3-phosphate
C04047,3-hydroxy-2-methylpropanoyl-CoA
C04088,stearoyl-[acp]
C04225,cis-2-methylaconitate
C04230,1-acyl-sn-glycero-3-phosphocholine
C04233,2-acyl-sn-glycero-3-phosphocholine
C04246,but-2-enoyl-[acp]
C04248,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
C04256,N-acetyl-D-glucosamine-1-phosphate
C04352,(R)-4-phosphopantothenoyl-L-cysteine
C04405,(S)-3-hydroxy-2-methylbutyryl-CoA
C04421,"N-succinyl-LL-2,6-diaminoheptanedioate"
C04462,N-succinyl-L-2-amino-6-oxoheptanedioate
C04500,N-acetyl-D-glucosaminyldiphosphodolichol
C04537,"N,N-diacetylchitobiosyldiphosphodolichol"
C04549,1-phosphatidyl-1D-myo-inositol-3-phosphate
C04574,"di-trans,poly-cis-undecaprenyl-diphosphate"
C04593,methylisocitrate
C04618,(3R)-3-hydroxybutanoyl-[acp]
C04619,(3R)-3-hydroxydecanoyl-[acp]
C04620,(3R)-3-hydroxyoctanoyl-[acp]
C04633,(3R)-3-hydroxypalmitoyl-[acp]
C04637,"1-phosphatidyl-1D-myo-inositol-4,5-bisphosphate"
C04688,(3R)-3-hydroxytetradecanoyl-[acp]
C04691,2-dehydro-3-deoxy-D-arabino-heptonate-7-phosphate
C04807,"2-amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine"
C04874,dihydroneopterin
C04895,"7,8-dihydroneopterin-3-triphosphate"
C05223,dodecanoyl-[acp]
C05382,sedoheptulose-7-phosphate
C05512,deoxyinosine
C05665,3-aminopropanal
C05744,acetoacetyl-[acp]
C05745,butyryl-[acp]
C05746,3-oxohexanoyl-[acp]
C05747,(3R)-3-hydroxyhexanoyl-[acp]
C05748,trans-hex-2-enoyl-[acp]
C05749,hexanoyl-[acp]
C05750,3-oxooctanoyl-[acp]
C05751,trans-oct-2-enoyl-[acp]
C05752,octanoyl-[acp]
C05753,3-oxodecanoyl-[acp]
C05754,trans-dec-2-enoyl-[acp]
C05755,decanoyl-[acp]
C05756,3-oxododecanoyl-[acp]
C05757,(3R)-3-hydroxydodecanoyl-[acp]
C05758,trans-dodec-2-enoyl-[acp]
C05759,3-oxotetradecanoyl-[acp]
C05760,trans-tetradec-2-enoyl-[acp]
C05761,tetradecanoyl-[acp]
C05762,3-oxohexadecanoyl-[acp]
C05763,trans-hexadec-2-enoyl-[acp]
C05764,hexadecanoyl-[acp]
C05841,nicotinate-D-ribonucleoside
C05860,beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
C06197,"P1,P3-bis(5-adenosyl)-triphosphate"
C06424,tetradecanoic-acid
C06697,arsenite
C11355,4-amino-4-deoxychorismate
C11356,"trans,trans,cis-geranylgeranyl-diphosphate"
C11434,2-C-methyl-D-erythritol-4-phosphate
C11435,4-(cytidine-5-diphospho)-2-C-methyl-D-erythritol
C11436,2-phospho-4-(cytidine-5-diphospho)-2-C-methyl-D-erythritol
C11437,1-deoxy-D-xylulose-5-phosphate
C11453,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate"
C11811,1-hydroxy-2-methyl-2-butenyl-4-diphosphate
C12126,dihydroceramide
C14818,Fe2+
C15522,4a-hydroxytetrahydrobiopterin
C15975,protein-N6-(S-[3-methylbutanoyl]dihydrolipoyl)lysine
C15977,protein-N6-(S-[2-methylpropanoyl]dihydrolipoyl)lysine
C15979,protein-N6-(S-[2-methylbutanoyl]dihydrolipoyl)lysine
C15980,(S)-2-methylbutanoyl-CoA
C16219,3-oxostearoyl-[acp]
C16220,(3R)-3-hydroxyoctadecanoyl-[acp]
C16221,trans-octadec-2-enoyl-[acp]
C16237,protein-N6-(lipoyl)lysine
C16254,protein-N6-(S-succinyldihydrolipoyl)lysine
C16255,protein-N6-(S-acetyldihydrolipoyl)lysine
C16832,protein-N6-(dihydrolipoyl)lysine
C18170,3-acetamidopropanal
DNA,DNA
EMs,Essential molecules
GAM,Growth-associated maintenance
Lipids,Lipids
Proteins,Proteins
RNA,RNA
xenobiotic,xenobiotic
